iter	Passed	Remaining
0	475	950289
1	938	937102
2	2072	1379264
3	2443	1219338
4	2738	1092789
5	3542	1177454
6	3951	1125077
7	4303	1071637
8	4628	1023942
9	5093	1013687
10	5424	980796
11	5777	957114
12	6114	934550
13	6463	916876
14	6860	907923
15	7095	879785
16	7389	861910
17	7644	841770
18	7954	829327
19	8188	810635
20	8427	794219
21	8670	779546
22	8906	765571
23	9140	752549
24	9363	739695
25	9612	729819
26	9845	719434
27	10051	707898
28	10276	698467
29	10532	691660
30	10774	684384
31	11027	678174
32	11274	672015
33	11490	664402
34	11705	657170
35	11916	650110
36	12120	643019
37	12358	638072
38	12690	638088
39	12969	635491
40	13221	631750
41	13494	629099
42	13762	626373
43	13979	621464
44	14203	617046
45	14436	613243
46	14653	608891
47	14912	606459
48	15130	602429
49	15354	598844
50	15580	595424
51	15777	591033
52	15988	587336
53	16219	584487
54	16451	581774
55	16673	578795
56	16911	576480
57	17127	573490
58	17355	570974
59	17592	568828
60	17843	567186
61	18068	564776
62	18294	562479
63	18534	560670
64	18761	558524
65	19128	560520
66	19418	560239
67	19663	558675
68	19913	557279
69	20151	555614
70	20384	553839
71	20600	551646
72	20813	549424
73	21033	547439
74	21326	547388
75	21520	544816
76	21765	543573
77	21988	541809
78	22221	540353
79	22449	538797
80	22676	537230
81	22894	535511
82	23128	534186
83	23358	532787
84	23470	528781
85	23723	527990
86	23937	526349
87	24144	524604
88	24373	523341
89	24629	522693
90	24839	521086
91	25068	519899
92	25290	518592
93	25352	514070
94	25581	512972
95	25807	511840
96	26036	510792
97	26302	510478
98	26518	509212
99	26844	510046
100	27142	510341
101	27413	510114
102	27640	509062
103	27991	510314
104	28323	511178
105	28575	510581
106	28840	510229
107	29081	509471
108	29323	508727
109	29549	507720
110	29791	506985
111	30004	505782
112	30215	504575
113	30453	503823
114	30682	502930
115	30897	501824
116	31093	500419
117	31445	501527
118	31578	499156
119	31804	498262
120	32022	497269
121	32279	496897
122	32349	493657
123	32534	492220
124	32696	490445
125	32917	489588
126	33170	489204
127	33444	489132
128	33704	488847
129	33922	487961
130	34167	487470
131	34403	486860
132	34645	486340
133	34744	483831
134	34999	483505
135	35192	482337
136	35393	481294
137	35618	480585
138	35827	479681
139	36016	478504
140	36228	477652
141	36585	478699
142	36746	477193
143	36831	474713
144	36922	472348
145	37087	470964
146	37307	470281
147	37539	469749
148	37686	468175
149	37922	467706
150	38157	467239
151	38312	465796
152	38536	465208
153	38768	464720
154	38992	464133
155	39071	461842
156	39277	461068
157	39481	460284
158	39576	458245
159	39698	456532
160	39813	454763
161	40041	454301
162	40194	452991
163	40356	451796
164	40527	450717
165	40657	449191
166	40752	447296
167	40962	446687
168	41190	446267
169	41395	445609
170	41615	445111
171	41814	444402
172	42033	443904
173	42260	443489
174	42503	443249
175	42695	442480
176	42940	442266
177	43167	441856
178	43384	441361
179	43576	440607
180	43719	439364
181	43959	439116
182	44208	438946
183	44499	439187
184	44670	438257
185	44892	437822
186	45101	437268
187	45201	435664
188	45434	435353
189	45596	434366
190	45699	432832
191	45914	432357
192	46020	430880
193	46101	429172
194	46215	427788
195	46445	427491
196	46678	427218
197	46874	426607
198	47113	426389
199	47319	425873
200	47461	424795
201	47590	423603
202	47848	423564
203	48107	423532
204	48242	422418
205	48372	421259
206	48693	421775
207	48870	421042
208	49015	420028
209	49074	418305
210	49136	416611
211	49245	415333
212	49370	414205
213	49466	412835
214	49562	411483
215	49777	411127
216	49981	410676
217	50183	410214
218	50333	409336
219	50562	409094
220	50776	408737
221	51017	408597
222	51172	407776
223	51396	407501
224	51621	407235
225	51844	406958
226	51977	405974
227	52121	405085
228	52277	404293
229	52497	404003
230	52714	403690
231	52776	402191
232	52965	401673
233	53178	401340
234	53407	401127
235	53523	400068
236	53689	399386
237	53948	399400
238	54069	398392
239	54185	397361
240	54364	396796
241	54579	396491
242	54729	395721
243	54936	395363
244	55078	394542
245	55298	394280
246	55504	393922
247	55745	393816
248	55854	392775
249	55968	391777
250	56094	390874
251	56172	389640
252	56389	389378
253	56603	389093
254	56840	388968
255	57076	388831
256	57169	387730
257	57427	387747
258	57637	387438
259	57774	386644
260	57949	386104
261	58182	385955
262	58540	386634
263	58746	386300
264	58961	386029
265	59056	384978
266	59288	384819
267	59343	383519
268	59581	383403
269	59788	383087
270	59875	382010
271	60014	381267
272	60255	381178
273	60487	381025
274	60726	380923
275	60938	380645
276	61153	380389
277	61397	380309
278	61613	380060
279	61857	379984
280	62072	379723
281	62147	378614
282	62227	377542
283	62309	376488
284	62556	376435
285	62817	376465
286	63059	376379
287	63169	375508
288	63386	375275
289	63474	374279
290	63537	373146
291	63740	372840
292	63931	372462
293	64017	371478
294	64092	370430
295	64251	369880
296	64479	369724
297	64570	368791
298	64738	368294
299	64942	368008
300	65005	366926
301	65270	366984
302	65441	366512
303	65594	365946
304	65753	365417
305	66000	365376
306	66126	364663
307	66436	364969
308	66634	364655
309	66732	363800
310	66933	363507
311	67083	362941
312	67160	361979
313	67266	361180
314	67373	360397
315	67470	359560
316	67684	359347
317	67917	359237
318	68119	358962
319	68376	358976
320	68588	358755
321	68641	357705
322	68868	357564
323	69088	357385
324	69174	356513
325	69254	355619
326	69496	355559
327	69709	355347
328	69864	354842
329	70129	354898
330	70399	354976
331	70661	355010
332	70915	355004
333	71111	354703
334	71229	354020
335	71458	353890
336	71554	353102
337	71617	352155
338	71753	351568
339	71978	351424
340	72033	350452
341	72090	349490
342	72301	349282
343	72474	348889
344	72706	348781
345	72942	348689
346	73169	348556
347	73406	348469
348	73461	347523
349	73557	346770
350	73727	346371
351	73883	345908
352	74045	345474
353	74130	344686
354	74197	343816
355	74289	343065
356	74455	342662
357	74692	342584
358	74929	342505
359	75046	341879
360	75249	341644
361	75475	341514
362	75709	341423
363	75831	340826
364	76052	340675
365	76115	339814
366	76241	339242
367	76334	338526
368	76476	338031
369	76707	337927
370	76771	337090
371	76999	336974
372	77193	336713
373	77412	336556
374	77632	336408
375	77720	335685
376	77931	335496
377	78122	335224
378	78332	335030
379	78475	334555
380	78626	334111
381	78802	333777
382	78929	333236
383	79122	332973
384	79370	332944
385	79586	332777
386	79787	332552
387	79997	332358
388	80210	332182
389	80290	331455
390	80494	331243
391	80601	330629
392	80737	330138
393	81203	330998
394	81685	331910
395	82184	332888
396	82635	333664
397	83252	335100
398	83518	335118
399	84101	336407
400	84343	336323
401	84588	336247
402	84665	335509
403	84739	334763
404	84832	334092
405	84939	333482
406	84982	332622
407	85176	332355
408	85352	332020
409	85537	331717
410	85726	331434
411	85986	331421
412	86156	331066
413	86387	330944
414	86732	331254
415	86965	331138
416	87206	331050
417	87813	332345
418	88116	332486
419	88462	332787
420	88638	332445
421	88763	331915
422	88937	331570
423	89038	330955
424	89315	330993
425	89675	331334
426	89848	330987
427	90018	330627
428	90164	330182
429	90416	330125
430	90551	329640
431	90823	329654
432	91087	329640
433	91302	329445
434	91515	329246
435	91674	328851
436	91874	328605
437	92078	328371
438	92143	327645
439	92460	327813
440	92727	327804
441	92915	327516
442	92995	326847
443	93218	326683
444	93464	326600
445	93710	326515
446	93863	326106
447	93922	325373
448	94164	325275
449	94342	324957
450	94514	324617
451	94617	324044
452	94805	323760
453	94994	323482
454	95182	323201
455	95351	322855
456	95521	322516
457	95684	322151
458	95786	321585
459	95955	321242
460	96016	320541
461	96153	320094
462	96315	319733
463	96378	319047
464	96527	318643
465	96683	318268
466	96759	317629
467	96937	317325
468	97112	317014
469	97262	316621
470	97437	316308
471	97784	316557
472	97976	316301
473	98048	315658
474	98294	315578
475	98507	315388
476	98640	314946
477	98791	314561
478	98941	314176
479	99061	313694
480	99287	313549
481	99484	313315
482	99577	312751
483	99841	312725
484	100077	312612
485	100338	312577
486	100579	312477
487	100853	312481
488	101012	312126
489	101203	311873
490	101377	311564
491	101671	311625
492	101919	311547
493	102051	311113
494	102339	311154
495	102502	310815
496	102724	310653
497	102797	310045
498	103027	309907
499	103167	309502
500	103342	309202
501	103502	308858
502	103631	308423
503	103784	308059
504	104036	307987
505	104217	307708
506	104274	307063
507	104407	306647
508	104545	306241
509	104750	306036
510	104816	305425
511	104978	305094
512	105046	304492
513	105242	304261
514	105436	304025
515	105529	303500
516	105578	302850
517	105795	302680
518	105923	302260
519	105982	301642
520	106159	301362
521	106240	300812
522	106428	300564
523	106595	300256
524	106639	299606
525	106812	299319
526	106979	299013
527	107099	298579
528	107182	298042
529	107349	297741
530	107533	297487
531	107577	296848
532	107765	296606
533	107943	296338
534	108221	296343
535	108456	296230
536	108710	296169
537	108776	295597
538	108880	295129
539	109062	294874
540	109255	294647
541	109306	294037
542	109560	293976
543	109867	294056
544	110138	294039
545	110317	293775
546	110519	293574
547	110716	293359
548	110968	293287
549	111175	293099
550	111356	292841
551	111575	292684
552	111707	292297
553	111893	292054
554	112080	291811
555	112312	291690
556	112571	291636
557	112841	291607
558	113059	291445
559	113251	291218
560	113432	290960
561	113584	290629
562	113694	290192
563	113763	289653
564	113806	289047
565	113988	288797
566	114274	288809
567	114619	288969
568	114795	288702
569	115054	288644
570	115292	288533
571	115373	288030
572	115532	287722
573	115704	287446
574	115845	287095
575	116007	286796
576	116073	286261
577	116263	286031
578	116446	285787
579	116657	285610
580	116744	285130
581	116905	284832
582	117069	284541
583	117239	284266
584	117416	284007
585	117532	283602
586	117751	283445
587	118062	283509
588	118314	283431
589	118402	282962
590	118604	282764
591	118906	282805
592	118979	282300
593	119228	282213
594	119410	281969
595	119657	281877
596	119849	281657
597	120036	281424
598	120248	281247
599	120327	280764
600	120581	280688
601	120839	280619
602	120980	280281
603	121245	280228
604	121499	280151
605	121785	280146
606	122011	280002
607	122256	279903
608	122485	279766
609	122657	279498
610	122844	279265
611	123026	279021
612	123232	278830
613	123406	278568
614	123574	278292
615	123746	278026
616	123927	277781
617	124112	277547
618	124263	277233
619	124427	276952
620	124597	276681
621	124754	276385
622	124850	275953
623	125024	275695
624	125218	275479
625	125415	275273
626	125603	275045
627	125799	274835
628	125985	274605
629	126167	274364
630	126407	274250
631	126591	274013
632	126755	273736
633	126915	273448
634	127062	273134
635	127221	272845
636	127416	272634
637	127588	272374
638	127745	272083
639	127848	271679
640	128012	271402
641	128200	271178
642	128439	271061
643	128583	270743
644	128753	270481
645	129008	270399
646	129230	270244
647	129467	270123
648	129663	269915
649	129912	269817
650	130185	269770
651	130560	269931
652	130820	269855
653	131112	269842
654	131366	269753
655	131680	269784
656	132014	269856
657	132368	269968
658	132655	269941
659	133027	270086
660	133216	269858
661	133404	269629
662	133597	269410
663	133806	269226
664	133982	268972
665	134169	268741
666	134349	268498
667	134557	268308
668	134756	268103
669	134956	267898
670	135208	267797
671	135473	267720
672	135695	267560
673	135886	267338
674	136088	267136
675	136281	266917
676	136514	266777
677	136759	266660
678	137076	266684
679	137315	266553
680	137566	266445
681	137870	266440
682	138248	266577
683	138669	266796
684	138991	266823
685	139233	266694
686	139471	266558
687	139670	266347
688	139853	266108
689	140024	265843
690	140262	265707
691	140509	265587
