iter	Passed	Remaining
0	481	143954
1	754	112436
2	1055	104469
3	1316	97414
4	1586	93581
5	1848	90589
6	2090	87508
7	2317	84590
8	2561	82807
9	2813	81579
10	2991	78605
11	3238	77727
12	3501	77311
13	3675	75083
14	3917	74441
15	4167	73964
16	4418	73558
17	4676	73267
18	4919	72757
19	5185	72600
20	5371	71369
21	5609	70878
22	5871	70711
23	6072	69828
24	6365	70020
25	6552	69048
26	6790	68660
27	7028	68280
28	7216	67434
29	7333	66004
30	7569	65686
31	7731	64749
32	7992	64665
33	8101	63385
34	8341	63156
35	8517	62464
36	8649	61479
37	8889	61287
38	9062	60645
39	9187	59717
40	9360	59130
41	9609	59030
42	9715	58069
43	9984	58091
44	10105	57266
45	10332	57054
46	10526	56661
47	10663	55984
48	10906	55867
49	11122	55611
50	11366	55497
51	11609	55369
52	11783	54913
53	11911	54264
54	12145	54104
55	12386	53970
56	12456	53104
57	12584	52509
58	12654	51690
59	12820	51282
60	12907	50571
61	13114	50341
62	13245	49828
63	13358	49258
64	13491	48777
65	13742	48722
66	13905	48359
67	14049	47932
68	14156	47394
69	14346	47138
70	14589	47057
71	14854	47038
72	15021	46709
73	15275	46651
74	15532	46597
75	15627	46061
76	15752	45621
77	15822	45034
78	15951	44625
79	16211	44582
80	16446	44466
81	16694	44383
82	16918	44231
83	17023	43774
84	17183	43463
85	17433	43381
86	17658	43233
87	17862	43031
88	18098	42907
89	18323	42753
90	18563	42634
91	18830	42572
92	18961	42204
93	19113	41886
94	19190	41411
95	19317	41049
96	19503	40816
97	19633	40468
98	19893	40389
99	20151	40303
100	20452	40297
101	20655	40096
102	20881	39937
103	21179	39914
104	21286	39532
105	21405	39176
106	21519	38816
107	21606	38410
108	21867	38317
109	22082	38141
110	22363	38078
111	22504	37775
112	22577	37363
113	22819	37232
114	22970	36952
115	23206	36810
116	23444	36669
117	23652	36480
118	23780	36170
119	24000	36001
120	24071	35610
121	24140	35221
122	24364	35061
123	24475	34739
124	24548	34367
125	24818	34272
126	25058	34135
127	25167	33818
128	25425	33703
129	25670	33569
130	25928	33449
131	26227	33380
132	26518	33297
133	26780	33175
134	27065	33080
135	27307	32929
136	27571	32804
137	27841	32683
138	28108	32557
139	28331	32378
140	28595	32246
141	28843	32093
142	29107	31957
143	29375	31823
144	29628	31671
145	29912	31551
146	30218	31451
147	30531	31356
148	30826	31240
149	31108	31108
150	31385	30969
151	31679	30845
152	31957	30704
153	32248	30573
154	32514	30417
155	32791	30269
156	33045	30099
157	33284	29913
158	33567	29767
159	33802	29576
160	34009	29362
161	34279	29201
162	34548	29037
163	34804	28862
164	35048	28675
165	35293	28489
166	35551	28313
167	35815	28140
168	36086	27972
169	36343	27792
170	36608	27617
171	36865	27434
172	37122	27251
173	37381	27069
174	37641	26886
175	37898	26701
176	38152	26513
177	38393	26314
178	38598	26092
179	38805	25870
180	39074	25689
181	39359	25518
182	39632	25338
183	39880	25142
184	40137	24950
185	40395	24758
186	40672	24577
187	40933	24385
188	41196	24194
189	41453	23999
190	41725	23812
191	41996	23622
192	42257	23427
193	42504	23224
194	42751	23019
195	43010	22822
196	43249	22612
197	43500	22409
198	43775	22217
199	44048	22024
200	44319	21829
201	44577	21626
202	44819	21416
203	45067	21208
204	45336	21009
205	45579	20798
206	45834	20592
207	46097	20389
208	46368	20189
209	46633	19985
210	46880	19774
211	47121	19559
212	47388	19355
213	47608	19132
214	47865	18923
215	48110	18709
216	48361	18497
217	48627	18291
218	48840	18064
219	49088	17850
220	49344	17639
221	49608	17429
222	49877	17222
223	50126	17007
224	50450	16816
225	50743	16615
226	51033	16411
227	51319	16206
228	51607	16000
229	51933	15805
230	52226	15600
231	52603	15418
232	52893	15209
233	53177	14998
234	53471	14790
235	53738	14573
236	54004	14355
237	54261	14135
238	54509	13912
239	54773	13693
240	55029	13472
241	55287	13250
242	55529	13025
243	55786	12803
244	56043	12581
245	56322	12363
246	56618	12148
247	56926	11936
248	57190	11713
249	57461	11492
250	57696	11263
251	57946	11037
252	58195	10811
253	58453	10586
254	58721	10362
255	58930	10128
256	59185	9902
257	59437	9675
258	59684	9448
259	59962	9225
260	60238	9001
261	60503	8775
262	60778	8550
263	61061	8326
264	61303	8096
265	61557	7868
266	61821	7640
267	62103	7415
268	62370	7187
269	62635	6959
270	62886	6729
271	63146	6500
272	63391	6269
273	63657	6040
274	63928	5811
275	64201	5582
276	64461	5352
277	64736	5123
278	65012	4893
279	65281	4662
280	65546	4431
281	65820	4201
282	66077	3969
283	66346	3737
284	66622	3506
285	66879	3273
286	67143	3041
287	67386	2807
288	67654	2575
289	67926	2342
290	68200	2109
291	68458	1875
292	68710	1641
293	68959	1407
294	69217	1173
295	69599	940
296	69968	706
297	70236	471
298	70486	235
299	70733	0
